,0
12DGR180ti,"Transport, extracellular"
1P4H2CBXLAH,Arginine and proline metabolism
23DHMPO,"Valine, leucine, and isoleucine metabolism"
25DOPOX,Pentose and glucuronate interconversions
26DAPLLAT,Lysine metabolism
2AHBUTI,"Valine, leucine, and isoleucine metabolism"
2DHPL,CoA synthesis
2DMMQ8abc,"Transport, extracellular"
2HBO,Propanoate metabolism
2MBCOATA,Glycerophospholipid metabolism
2MEBCOADH,"Valine, leucine, and isoleucine metabolism"
2MECOAOX,"Valine, leucine, and isoleucine metabolism"
2OBUTt2r,"Transport, extracellular"
34DHOXPEGOX,Tyrosine metabolism
3CARLPDH,Citric acid cycle
3HAD100,Fatty acid synthesis
3HAD10M12,Fatty acid synthesis
3HAD11M12,Fatty acid synthesis
3HAD120,Fatty acid synthesis
3HAD121,Fatty acid synthesis
3HAD12M14,Fatty acid synthesis
3HAD13M14,Fatty acid synthesis
3HAD140,Fatty acid synthesis
3HAD141,Fatty acid synthesis
3HAD14M16,Fatty acid synthesis
3HAD15M16,Fatty acid synthesis
3HAD160,Fatty acid synthesis
3HAD161,Fatty acid synthesis
3HAD180,Fatty acid synthesis
3HAD181,Fatty acid synthesis
3HAD40,Fatty acid synthesis
3HAD4M6,Fatty acid synthesis
3HAD5M6,Fatty acid synthesis
3HAD60,Fatty acid synthesis
3HAD6M8,Fatty acid synthesis
3HAD7M8,Fatty acid synthesis
3HAD80,Fatty acid synthesis
3HAD8M10,Fatty acid synthesis
3HAD9M10,Fatty acid synthesis
3HBCOAE,Butanoate metabolism
3HBCOAHL,"Valine, leucine, and isoleucine metabolism"
3HPCOAHYD,beta-Alanine metabolism
3MEBCOADH,"Valine, leucine, and isoleucine metabolism"
3MOBS,"Valine, leucine, and isoleucine metabolism"
3MOPt2r,"Transport, extracellular"
3OAR100,Fatty acid synthesis
3OAR10M11,Fatty acid synthesis
3OAR10M12,Fatty acid synthesis
3OAR11M12,Fatty acid synthesis
3OAR120,Fatty acid synthesis
3OAR12M13,Fatty acid synthesis
3OAR12M14,Fatty acid synthesis
3OAR13M14,Fatty acid synthesis
3OAR140,Fatty acid synthesis
3OAR14M15,Fatty acid synthesis
3OAR14M16,Fatty acid synthesis
3OAR15M16,Fatty acid synthesis
3OAR160,Fatty acid synthesis
3OAR180,Fatty acid synthesis
3OAR40,Fatty acid synthesis
3OAR4M5,Fatty acid synthesis
3OAR4M6,Fatty acid synthesis
3OAR5M6,Fatty acid synthesis
3OAR60,Fatty acid synthesis
3OAR6M7,Fatty acid synthesis
3OAR6M8,Fatty acid synthesis
3OAR7M8,Fatty acid synthesis
3OAR80,Fatty acid synthesis
3OAR8M10,Fatty acid synthesis
3OAR8M9,Fatty acid synthesis
3OAR9M10,Fatty acid synthesis
3OAS100,Fatty acid synthesis
3OAS10M11,Fatty acid synthesis
3OAS10M12,Fatty acid synthesis
3OAS11M12,Fatty acid synthesis
3OAS120,Fatty acid synthesis
3OAS121,Fatty acid synthesis
3OAS12M13,Fatty acid synthesis
3OAS12M14,Fatty acid synthesis
3OAS13M14,Fatty acid synthesis
3OAS140,Fatty acid synthesis
3OAS141,Fatty acid synthesis
3OAS160,Fatty acid synthesis
3OAS161,Fatty acid synthesis
3OAS180,Fatty acid synthesis
3OAS181,Fatty acid synthesis
3OAS2M3,Fatty acid synthesis
3OAS3M4,Fatty acid synthesis
3OAS4M3O6,Fatty acid synthesis
3OAS4M5,Fatty acid synthesis
3OAS4M6,Fatty acid synthesis
3OAS5M6,Fatty acid synthesis
3OAS60,Fatty acid synthesis
3OAS6M7,Fatty acid synthesis
3OAS6M8,Fatty acid synthesis
3OAS7M8,Fatty acid synthesis
3OAS80,Fatty acid synthesis
3OAS8M10,Fatty acid synthesis
3OAS8M9,Fatty acid synthesis
3OAS9M10,Fatty acid synthesis
4ABZt2,"Transport, extracellular"
4HTHRS,Vitamin B6 metabolism
4NTPPH2,Aminobenzoate degradation
5AIZCDC,Purine catabolism
5C2O3EDDC,Tyrosine metabolism
5MTHCYST,Methionine and cysteine metabolism
AACGLYDH,Pyruvate metabolism
AACOAT,Propanoate metabolism
AACPS6,Fatty acid synthesis
AACPS7,Fatty acid synthesis
ABTAr,Glutamate metabolism
ABUTD,beta-Alanine metabolism
ABUTR,beta-Alanine metabolism
ACACT1r,Tryptophan metabolism
ACACT2r,Fatty acid oxidation
ACACT3r,Fatty acid oxidation
ACACT4r,Fatty acid oxidation
ACACT5r,Fatty acid oxidation
ACACT6r,Fatty acid oxidation
ACACT7r,Fatty acid oxidation
ACACt2,"Transport, extracellular"
ACALDt,"Transport, extracellular"
ACBIPGT,Vitamin B12 metabolism
ACCOACL,Pyruvate metabolism
ACCOAL,Propanoate metabolism
ACCOALYS2,Lysine metabolism
ACGAMT,Cell wall biosynthesis
ACGK,Arginine and proline metabolism
ACGS,Urea cycle
ACHBPL,"Valine, leucine, and isoleucine metabolism"
ACKr,Pyruvate metabolism
ACLS_a,"Valine, leucine, and isoleucine metabolism"
ACLS_b,"Valine, leucine, and isoleucine metabolism"
ACNAMS,Aminosugar metabolism
ACOAAGPAT140,Glycerophospholipid metabolism
ACOAAGPAT160,Glycerophospholipid metabolism
ACOAAGPAT180,Glycerophospholipid metabolism
ACOAAGPATAI15,Glycerophospholipid metabolism
ACOAAGPATAI17,Glycerophospholipid metabolism
ACOAAGPATI14,Glycerophospholipid metabolism
ACOAAGPATI15,Glycerophospholipid metabolism
ACOAAGPATI16,Glycerophospholipid metabolism
ACOAAGPATI17,Glycerophospholipid metabolism
ACOAD1,Butanoate metabolism
ACOAD1fi,Butanoate metabolism
ACOAD2,Butanoate metabolism
ACOAD20,"Valine, leucine, and isoleucine metabolism"
ACOAD3rev,Fatty acid synthesis
ACOAD4rev,Fatty acid synthesis
ACOAD5rev,Fatty acid synthesis
ACOAD6rev,Fatty acid synthesis
ACOAD7i,Fatty acid synthesis
ACOAD8,"Valine, leucine, and isoleucine metabolism"
ACOADH2,"Valine, leucine, and isoleucine metabolism"
ACOATA,Fatty acid oxidation
ACOCT,Arginine and proline metabolism
ACODAr,Urea cycle
ACONT,Citric acid cycle
ACONTa,Citric acid cycle
ACONTb,Citric acid cycle
ACOTA,Arginine and proline metabolism
ACPS1,CoA synthesis
ACS,Glycolysis/gluconeogenesis
ACt2r,"Transport, extracellular"
ADA,Purine catabolism
ADAD,Nucleotide interconversion
ADK1,Nucleotide interconversion
ADK10,Nucleotide interconversion
ADK11,Nucleotide interconversion
ADK2,Nucleotide interconversion
ADK3,Nucleotide interconversion
ADK5,Nucleotide interconversion
ADK7,Nucleotide interconversion
ADK8,Nucleotide interconversion
ADK9,Nucleotide interconversion
ADNCYC,Nucleotide interconversion
ADNK1,Nucleotide interconversion
ADOCBIK,Vitamin B12 metabolism
ADOCBLS,Vitamin B12 metabolism
ADPRDP,Nucleotide interconversion
ADPT,Nucleotide salvage pathway
ADSL1r,Purine synthesis
ADSL2r,Purine synthesis
ADSS,Nucleotide interconversion
AGMHE,Lipopolysaccharide biosynthesis
AGMT,Arginine and proline metabolism
AGPAT120,Glycerophospholipid metabolism
AGPAT140,Glycerophospholipid metabolism
AGPAT141,Glycerophospholipid metabolism
AGPAT160,Glycerophospholipid metabolism
AGPAT161,Glycerophospholipid metabolism
AGPAT180,Glycerophospholipid metabolism
AGPAT181,Glycerophospholipid metabolism
AGPR,Urea cycle
AHCYSNS,Glycerophospholipid metabolism
AHEXASE3,Aminosugar metabolism
AHSERL2,Methionine and cysteine metabolism
AHSERL3,Methionine and cysteine metabolism
AICART,Purine synthesis
AIHPDCOATA,Glycerophospholipid metabolism
AIPDCOATA,Glycerophospholipid metabolism
AIRC4,Purine synthesis
AKGS,Pyruvate metabolism
AKP1,Folate metabolism
ALAALA,Alanine and aspartate metabolism
ALAASP1c,Peptide metabolism
ALAASPabc,"Transport, extracellular"
ALACI,"Valine, leucine, and isoleucine metabolism"
ALAGLN1c,Peptide metabolism
ALAGLNabc,"Transport, extracellular"
ALAGLU1c,Peptide metabolism
ALAGLUabc,"Transport, extracellular"
ALAGLY1c,Peptide metabolism
ALAGLYabc,"Transport, extracellular"
ALAHIS1c,Peptide metabolism
ALAHISabc,"Transport, extracellular"
ALALEU1c,Peptide metabolism
ALALEUabc,"Transport, extracellular"
ALAR,Alanine and aspartate metabolism
ALATA_L,Glutamate metabolism
ALATHR1c,Peptide metabolism
ALATHRabc,"Transport, extracellular"
ALAt2r,"Transport, extracellular"
ALCD19,Pyruvate metabolism
ALCD2x,Glycolysis/gluconeogenesis
ALDD2x,Glycolysis/gluconeogenesis
ALKP,Glycerophospholipid metabolism
