,0
23PDE2,Nucleotide interconversion
23PDE4,Nucleotide interconversion
23PDE7,Nucleotide interconversion
23PDE9,Nucleotide interconversion
2HMCOXT,Benzoate degradation
2MBCOATA,Glycerophospholipid metabolism
2OBUTt2r,"Transport, extracellular"
2S6HCC,Ubiquinone and other terpenoid-quinone biosynthesis
3HAD100,Fatty acid synthesis
3HAD10M11,Fatty acid synthesis
3HAD10M12,Fatty acid synthesis
3HAD11M12,Fatty acid synthesis
3HAD120,Fatty acid synthesis
3HAD12M13,Fatty acid synthesis
3HAD12M14,Fatty acid synthesis
3HAD13M14,Fatty acid synthesis
3HAD140,Fatty acid synthesis
3HAD14M15,Fatty acid synthesis
3HAD14M16,Fatty acid synthesis
3HAD15M16,Fatty acid synthesis
3HAD160,Fatty acid synthesis
3HAD180,Fatty acid synthesis
3HAD40,Fatty acid synthesis
3HAD4M5,Fatty acid synthesis
3HAD4M6,Fatty acid synthesis
3HAD5M6,Fatty acid synthesis
3HAD60,Fatty acid synthesis
3HAD6M7,Fatty acid synthesis
3HAD6M8,Fatty acid synthesis
3HAD7M8,Fatty acid synthesis
3HAD80,Fatty acid synthesis
3HAD8M10,Fatty acid synthesis
3HAD8M9,Fatty acid synthesis
3HAD9M10,Fatty acid synthesis
3OAR100,Fatty acid synthesis
3OAR10M11,Fatty acid synthesis
3OAR10M12,Fatty acid synthesis
3OAR11M12,Fatty acid synthesis
3OAR120,Fatty acid synthesis
3OAR12M13,Fatty acid synthesis
3OAR12M14,Fatty acid synthesis
3OAR13M14,Fatty acid synthesis
3OAR140,Fatty acid synthesis
3OAR14M15,Fatty acid synthesis
3OAR14M16,Fatty acid synthesis
3OAR15M16,Fatty acid synthesis
3OAR160,Fatty acid synthesis
3OAR180,Fatty acid synthesis
3OAR40,Fatty acid synthesis
3OAR4M5,Fatty acid synthesis
3OAR4M6,Fatty acid synthesis
3OAR5M6,Fatty acid synthesis
3OAR60,Fatty acid synthesis
3OAR6M7,Fatty acid synthesis
3OAR6M8,Fatty acid synthesis
3OAR7M8,Fatty acid synthesis
3OAR80,Fatty acid synthesis
3OAR8M10,Fatty acid synthesis
3OAR8M9,Fatty acid synthesis
3OAR9M10,Fatty acid synthesis
3OAS100,Fatty acid synthesis
3OAS10M11,Fatty acid synthesis
3OAS10M12,Fatty acid synthesis
3OAS11M12,Fatty acid synthesis
3OAS120,Fatty acid synthesis
3OAS12M13,Fatty acid synthesis
3OAS12M14,Fatty acid synthesis
3OAS13M14,Fatty acid synthesis
3OAS140,Fatty acid synthesis
3OAS160,Fatty acid synthesis
3OAS180,Fatty acid synthesis
3OAS2M3,Fatty acid synthesis
3OAS3M4,Fatty acid synthesis
3OAS4M3O6,Fatty acid synthesis
3OAS4M5,Fatty acid synthesis
3OAS4M6,Fatty acid synthesis
3OAS5M6,Fatty acid synthesis
3OAS60,Fatty acid synthesis
3OAS6M7,Fatty acid synthesis
3OAS6M8,Fatty acid synthesis
3OAS7M8,Fatty acid synthesis
3OAS80,Fatty acid synthesis
3OAS8M10,Fatty acid synthesis
3OAS8M9,Fatty acid synthesis
3OAS9M10,Fatty acid synthesis
4ABZt2,"Transport, extracellular"
4HTHRS,Vitamin B6 metabolism
4NTPPH2,Aminobenzoate degradation
5AIZCDC,Purine catabolism
5DOAN,Arginine and proline metabolism
6PHBG,Glycolysis/gluconeogenesis
6PHBG2,Glycolysis/gluconeogenesis
AACPS7,Fatty acid synthesis
AB6PGH,Glycolysis/gluconeogenesis
AB6PGH2,Glycolysis/gluconeogenesis
ABTOXy,Pentose and glucuronate interconversions
ACACT1r,Tryptophan metabolism
ACACT2r,Fatty acid oxidation
ACACT3r,Fatty acid oxidation
ACACT4r,Fatty acid oxidation
ACACT5r,Fatty acid oxidation
ACACT6r,Fatty acid oxidation
ACACT7r,Fatty acid oxidation
ACALD,Pyruvate metabolism
ACALDt,"Transport, extracellular"
ACBIPGT,Vitamin B12 metabolism
ACCOACL,Pyruvate metabolism
ACEDIPIT,Lysine metabolism
ACGAMT,Cell wall biosynthesis
ACGApts,"Transport, extracellular"
ACKr,Pyruvate metabolism
