,nonIBD,IBD
Abiotrophia_defectiva_ATCC_49176,0.0010136444456708,0.0010130495839069
Acidaminococcus_fermentans_DSM_20731,0.0010001517543193,0.0010011162208133
Acidaminococcus_intestini_RyC_MR95,0.0010004270627922,0.0013664610275811
Acidaminococcus_sp_D21,0.0012764111995025,0.0015399147501843
Acinetobacter_calcoaceticus_PHEA_2,0.0010324996743897,0.0010432735840355
Acinetobacter_haemolyticus_NIPH_261,0.0010191105821568,0.0010394927937999
Acinetobacter_johnsonii_SH046,0.0010242502878792,0.001117639298849
Acinetobacter_junii_SH205,0.0011760238579867,0.0011760238579867
Acinetobacter_lwoffii_WJ10621,0.0104616065757187,0.0010057395078286
Acinetobacter_pittii_ANC_4052,0.0010347118386173,0.0010322482390016
Actinobacillus_pleuropneumoniae_L20,0.0010042201767635,0.0010042201767635
Actinomyces_cardiffensis_F0333,0.0010089700235863,0.0010089700235863
Actinomyces_graevenitzii_C83,0.0013041609093919,0.0013107475806514
Actinomyces_odontolyticus_ATCC_17982,0.0010452400300457,0.0010452400300457
Actinomyces_turicensis_ACS_279_V_Col4,0.0010129387801821,0.0010286584896709
Actinomyces_urogenitalis_DSM_15434,0.0010210100117842,0.0010044500060003
Actinomyces_viscosus_C505,0.0010399156548562,0.0010399156548562
Adlercreutzia_equolifaciens_DSM_19450,0.0010180879830016,0.001016104694723
Aerococcus_viridans_ATCC_11563,0.0010057487391296,0.0010057487391296
Aeromonas_caviae_Ae398,0.0010099065789402,0.0009994321805415
Aeromonas_hydrophila_subsp_hydrophila_ATCC_7966,0.001000295204954,0.0010385358667128
Aeromonas_veronii_B565,0.0010186352442725,0.0010229995769386
Afipia_birgiae_34632,0.0010119370230146,0.0010119370230146
Akkermansia_muciniphila_ATCC_BAA_835,0.0013755733337191,0.0505411007990437
Alcaligenes_faecalis_subsp_faecalis_NBRC_13111,0.0010030394289636,0.0010013718654906
Alistipes_finegoldii_DSM_17242,0.0018736756573801,0.0068198655151363
Alistipes_indistinctus_YIT_12060,0.0010561117654134,0.0014451764869472
Alistipes_onderdonkii_DSM_19147,0.0014121060565639,0.1357044826657062
Alistipes_shahii_WAL_8301,0.001449459064329,0.1848728798388851
Anaerobaculum_hydrogeniformans_OS1_ATCC_BAA_1850,0.0010162000311628,0.0010424855984458
Anaerococcus_hydrogenalis_DSM_7454,0.000952252690565,0.0010136883480208
Anaerococcus_prevotii_DSM_20548,0.0010513733401532,0.0011075107419921
Anaerofustis_stercorihominis_DSM_17244,0.001014057002019,0.0010954496792349
Anaerostipes_caccae_DSM_14662,0.0006853788920797,0.0003423544612441
Anaerostipes_sp_3_2_56FAA,0.0010859787989025,0.0011549483889296
Anaerotruncus_colihominis_DSM_17241,0.0016536256396515,0.0013143052504445
Arcanobacterium_haemolyticum_DSM_20595,0.0010081443690749,0.0009996285297
Arcobacter_butzleri_RM4018,0.001003250675479,0.0010040393945635
Atopobium_minutum_10063974,0.0010609086491905,0.0010148948959269
Atopobium_parvulum_DSM_20469,0.0010137150656345,0.0010137150656345
Atopobium_rimae_ATCC_49626,0.0012115212311335,0.0012115212311335
Bacillus_atrophaeus_ATCC_49822_1,,
Bacillus_cereus_AH187_F4810_72,0.0009993137607378,0.0009993137607378
Bacillus_cereus_G9842,,
Bacillus_clausii_KSM_K16,0.0009999261867642,0.0009999261867642
Bacillus_endophyticus_2102,0.0010413693930809,0.0010413693930809
Bacillus_fordii_DSM_16014,0.0010129041934722,0.0010195931834291
Bacillus_halodurans_C_125,0.001098411869416,0.0010186191910861
Bacillus_mojavensis_RO_H_1,0.0010019341263477,0.0010091596128358
Bacillus_mycoides_DSM_2048,0.0010004377150797,0.0010338918424948
Bacillus_pseudofirmus_OF4,0.0010367149018658,0.0010415330966073
Bacillus_pumilus_ATCC_7061,0.0009996924434251,0.0010140765073593
Bacillus_sonorensis_L12,0.0010712573771762,0.0010712573771762
Bacillus_vallismortis_DV1_F_3,0.0010299452977586,0.001073530839338
Bacteroides_caccae_ATCC_43185,0.0010890822577629,0.4355107863302964
Bacteroides_clarus_YIT_12056,0.0013521471184675,0.1712642664303671
Bacteroides_coprocola_M16_DSM_17136,0.0013682239096037,0.0534337507772178
Bacteroides_coprophilus_DSM_18228,0.0011470919077504,0.0011483778852255
Bacteroides_dorei_DSM_17855,0.0013298599491504,0.1312056743131867
Bacteroides_eggerthii_1_2_48FAA,0.0013814698093307,0.3355755328685803
Bacteroides_eggerthii_DSM_20697,0.0012654956295116,0.3194386368032674
Bacteroides_faecis_MAJ27,0.0013470100834841,0.2720549028102257
Bacteroides_finegoldii_DSM_17565,0.0011374778655809,0.0011597631462127
Bacteroides_fluxus_YIT_12057,0.0011527173838518,0.001247561219232
Bacteroides_fragilis_3_1_12,0.0012114929711361,0.0014065704335811
Bacteroides_fragilis_638R,0.0018052222023739,0.0018052222023739
Bacteroides_fragilis_NCTC_9343,0.002199660128897,0.4292953585497717
Bacteroides_fragilis_YCH46,0.0015777076785111,0.0018758847828434
Bacteroides_intestinalis_341_DSM_17393,0.0010629471067599,0.1940389217402222
Bacteroides_nordii_CL02T12C05,0.0011152527570837,0.0017234804403935
Bacteroides_oleiciplenus_YIT_12058,0.0013681655188137,0.0013681655188137
Bacteroides_ovatus_ATCC_8483,0.0012501985012266,0.0257002626324196
Bacteroides_ovatus_SD_CC_2a,0.0011397805078034,0.0011397805078034
Bacteroides_ovatus_SD_CMC_3f,0.0019299743718589,0.0427436391580187
Bacteroides_plebeius_M12_DSM_17135,0.0010117927877703,0.0010117927877703
Bacteroides_salyersiae_WAL_10018,0.0010847495075447,0.0018664370024872
Bacteroides_sp_1_1_14,0.0013478483530845,0.1229732232300931
Bacteroides_sp_1_1_30,0.0010461806234549,0.1420237602246073
Bacteroides_sp_1_1_6,0.0012312798801518,0.044432341638032
Bacteroides_sp_20_3,0.063671598723932,0.0701042781128415
Bacteroides_sp_2_1_22,0.0011877043672614,0.0966316568102572
Bacteroides_sp_2_1_33B,0.057044690247539,0.0632271205676389
Bacteroides_sp_2_1_7,0.0664256394706768,0.0730505903898926
Bacteroides_sp_2_2_4,0.0010447273350388,0.0256990412714957
Bacteroides_sp_3_1_19,0.0010096256095227,0.0610958669858583
Bacteroides_sp_3_1_23,0.0012249340303288,0.1088152561838151
Bacteroides_sp_3_1_33FAA,0.0013856322264558,0.1026668101673383
Bacteroides_sp_3_1_40A,0.0761174336579325,0.0761168529191391
Bacteroides_sp_3_2_5,0.0988024105820099,0.098168532872754
Bacteroides_sp_4_1_36,0.027910686644829,0.0306012671247779
Bacteroides_sp_4_3_47FAA,0.0029737944836705,0.0029737944836705
Bacteroides_sp_9_1_42FAA,0.1358907763919237,0.1839508391032876
Bacteroides_sp_D1,0.0012165032968018,0.0972245753750691
Bacteroides_sp_D2,0.0011595275129104,0.0012767181939305
Bacteroides_sp_D20,0.0624707186731017,0.0696213688340357
Bacteroides_sp_D22,0.0012308312573253,0.0438407593883762
Bacteroides_stercoris_ATCC_43183,0.3264655631199874,0.3269876465426391
Bacteroides_thetaiotaomicron_VPI_5482,0.001320602886399,0.2051555337385104
Bacteroides_uniformis_ATCC_8492,0.297050401627394,0.2970526680242371
Bacteroides_ureolyticus_DSM_20703,0.0009995579915198,0.0010212875130745
Bacteroides_vulgatus_ATCC_8482,0.0018972042130528,0.0018972042130528
Bacteroides_xylanisolvens_SD_CC_1b,0.0011565836172918,0.0979998511653857
Bartonella_quintana_Toulouse,0.0010596331310453,0.0010596331310453
Bifidobacterium_adolescentis_ATCC_15703,0.0010480770552097,0.0010954215457462
Bifidobacterium_angulatum_DSM_20098,0.0010106918401204,0.0010106918401204
Bifidobacterium_animalis_lactis_AD011,0.0010283344204029,0.0010283344204029
Bifidobacterium_animalis_lactis_BB_12,0.0012687109450582,0.0017047493205359
Bifidobacterium_animalis_lactis_Bi_07,0.0010749190613942,0.0013054378344671
Bifidobacterium_animalis_lactis_Bl_04_ATCC_SD5219,0.0009994781709239,0.0010000788188632
Bifidobacterium_animalis_lactis_CNCM_I_2494,0.0010018329500622,0.001000937656988
Bifidobacterium_animalis_lactis_DSM_10140,0.0010000788188632,0.0010000788188632
Bifidobacterium_animalis_lactis_V9,0.0010000788188632,0.0010805656427236
Bifidobacterium_bifidum_BGN4,0.0010248931999448,0.0013413202387375
Bifidobacterium_bifidum_NCIMB_41171,0.0010073495571273,0.0016114421824141
Bifidobacterium_bifidum_PRL2010,0.0012789587676658,0.001283203770688
Bifidobacterium_bifidum_S17,0.0010248008460433,0.0011692460691503
Bifidobacterium_breve_HPH0326,0.0010686994749139,0.0011349208003205
Bifidobacterium_breve_UCC2003_NCIMB8807,0.0010434565641642,0.0011149593949258
Bifidobacterium_catenulatum_DSM_16992,0.0010419771178397,0.0010412204169553
Bifidobacterium_dentium_ATCC_27678,0.0010427172064715,0.0010427172064715
Bifidobacterium_gallicum_DSM_20093,0.0011625935213642,0.0011576312319437
Bifidobacterium_longum_DJO10A,0.0010039435750906,0.0026509254688941
Bifidobacterium_longum_E18,0.0010603037600154,0.0017327060880973
Bifidobacterium_longum_NCC2705,0.0010647046728617,0.0015119778687671
Bifidobacterium_longum_infantis_157F_NC,0.0010034381230259,0.0021543280313056
Bifidobacterium_longum_infantis_ATCC_15697,0.0010075991089416,0.0010658364886327
Bifidobacterium_longum_longum_ATCC_55813,0.0010376986705195,0.0015015681814816
Bifidobacterium_longum_longum_BBMN68,0.0010097769675897,0.0016395303452264
Bifidobacterium_longum_longum_CCUG_52486,0.0010294117684312,0.0011100313880832
Bifidobacterium_longum_longum_JCM_1217,0.0010149704637861,0.0017458176611498
Bifidobacterium_longum_longum_JDM301,0.0010501448589623,0.0010661730733161
Bifidobacterium_pseudocatenulatum_DSM_20438,0.0010635487361,0.0010635487361
Bifidobacterium_thermophilum_RBL67,0.0010475592334061,0.0010825653899109
Bilophila_wadsworthia_3_1_6,0.0014531129599563,0.1124578968413231
Blautia_hansenii_VPI_C7_24_DSM_20583,0.0011843757676529,0.1348723228166899
Blautia_hydrogenotrophica_DSM_10507,0.0010517667591864,0.0010573370212716
Brachybacterium_paraconglomeratum_LC44,0.0009997289188203,0.0010095828776976
Brachyspira_pilosicoli_B2904,0.001055632645047,0.0011193346150067
Bradyrhizobium_elkanii_USDA_76,0.0010084499041804,0.0010089745919557
Brevibacillus_agri_BAB_2500,0.0009994412150512,0.0010071366238293
Brevibacillus_borstelensis_AK1,0.0010019549555568,0.0010001420093163
Brevibacillus_brevis_NBRC_100599,,0.0010276422683428
Brevibacterium_casei_S18,0.0010441388868823,0.0010089493720006
Brevibacterium_massiliense_5401308,0.0012920629981027,0.0012631489073158
Brevundimonas_diminuta_470_4,0.0010110302700418,0.0010164513438758
Bulleidia_extructa_W1219,0.0010204438968845,0.0010230470700909
Burkholderiales_bacterium_1_1_47,0.004699166714611,0.004699166714611
Butyricicoccus_pullicaecorum_1_2,0.001086780541993,0.0010970695885444
Butyricimonas_synergistica_DSM_23225,0.0010370384037614,0.0010006738761405
Butyrivibrio_crossotus_DSM_2876,0.0010074772823482,0.0010706671118948
Butyrivibrio_fibrisolvens_16_4,0.0010149644297048,0.0010149644297048
Campylobacter_coli_JV20,0.0010522843254168,0.0010522843254168
Campylobacter_concisus_13826,0.001000701650549,0.0010342251558424
Campylobacter_curvus_525_92,0.0010053206950505,0.0010053206950505
Campylobacter_fetus_subsp_fetus_82_40,0.0010535480782536,0.0010535480782536
Campylobacter_gracilis_RM3268,0.0011063564766785,0.0010429893100576
Campylobacter_hominis_ATCC_BAA_381,0.0010042261878432,0.0010025440669255
Campylobacter_jejuni_jejuni_81_176,0.0010785076606459,0.0010983473518995
Campylobacter_jejuni_jejuni_M1,0.0010104641346962,0.0010192507793458
Campylobacter_jejuni_jejuni_NCTC_11168,0.001013119334922,0.0010120157190887
Campylobacter_lari_RM2100,0.001161480122192,0.0014520491726376
Campylobacter_rectus_RM3267,0.0010038711661151,0.0010038711661151
Campylobacter_upsaliensis_JV21,0.0010173872015151,0.0010136707185872
Capnocytophaga_granulosa_ATCC_51502,0.0010124983229168,0.0010925829360288
Capnocytophaga_ochracea_DSM_7271,0.0010680553897677,0.0010680553897677
Capnocytophaga_sputigena_ATCC_33612,0.0011252912653087,0.0011363888123038
Catenibacterium_mitsuokai_DSM_15897,0.0221589852607102,0.0422621734302932
