Strain,low_iron,low_zinc,high_FA,high_carbs,high_prot,micro_oxygen,Phylum,Class,Order,Family,Genus,Species
Ruminococcus champanellensis 18P13 = JCM 17042,0.10244750976562315,0.0,1.0,18.89255174618408,3.39778630224568,1.3767681611124496,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,Ruminococcus champanellensis
Bifidobacterium longum NCC2705,0.9821014404296875,0.0,1.0,11.800967419103749,2.568464361169798,1.099599688646724,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum
Erysipelotrichaceae bacterium 3_1_53,0.392860412597655,0.0,1.0,12.205446762676768,3.1233553395173486,1.0647743205474611,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,unclassified Erysipelotrichaceae,Erysipelotrichaceae bacterium 3_1_53
Bifidobacterium longum subsp. infantis 157F,0.9469909667968746,0.0,1.0,10.783830488948134,2.4775517580220723,1.0999695042750501,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum
Phocaeicola coprocola DSM 17136,0.12203979492187408,0.0,1.0,11.34625356834195,2.371657543933167,1.3812429615273831,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola coprocola
Coprococcus eutactus ATCC 27759,0.100616455078125,0.0,1.0,14.448386429458017,1.555706602045038,1.1173089426089007,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Coprococcus,Coprococcus eutactus
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365,0.1023864746093735,0.0,1.0,13.218657270029684,1.581072488342516,1.2599883425180154,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus delbrueckii
Bifidobacterium longum subsp. infantis CCUG 52486,0.9970397949218753,0.0,1.0,13.43345753731505,2.5744577742359316,1.103286738891641,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum
Ruminococcus sp. 5_1_39BFAA,0.10389709472656006,0.0,1.0,13.234974158805885,2.6560591275434606,1.1657631284108563,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,Ruminococcus sp. 5_1_39BFAA
Bifidobacterium bifidum S17,0.009979248046873732,0.0,1.0,5.166715915135053,6.033567756042801,1.5417528514863228,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium bifidum
