Family,low_iron,low_zinc,mid_zinc,high_FA,high_carbs,high_prot,Phylum,Class,Order
Oscillospiraceae,-0.5148329521680375,2.481552408718456,-0.5449883565912537,-0.01427551008638378,0.9689752088765107,-0.1774654560203005,Firmicutes,Clostridia,Eubacteriales
Brevibacteriaceae,1.2996899299942988,2.8433935087747466,1.000942842522339,-0.0020423279494217184,0.010178161993535828,-0.01082526542291773,Actinobacteria,Actinomycetia,Micrococcales
Corynebacteriaceae,0.46853664987982724,2.870957077996752,-0.1287410910670692,-0.004398190516292588,0.0419596007393675,-0.02843993371803344,Actinobacteria,Actinomycetia,Corynebacteriales
Flavobacteriaceae,0.4375053591805461,2.9263932415109206,0.4701128542908182,-0.0007689801888998149,-0.09498908829731123,-0.010348434442687293,Bacteroidetes,Flavobacteriia,Flavobacteriales
Helicobacteraceae,-0.09069973330321168,2.88765616253917,0.3883025395336133,-0.0010263187055185585,-0.12737180972297113,0.28391027555854553,Proteobacteria,Epsilonproteobacteria,Campylobacterales
Pasteurellaceae,-0.1674011707793075,2.8366791777721136,0.7449253300966905,-0.0012139222689608875,-0.034072448184461646,-0.00016917541268873793,Proteobacteria,Gammaproteobacteria,Pasteurellales
Bartonellaceae,-0.11438514355117108,2.8624883726507884,0.4904547123553636,-0.0005629607166719452,-0.04839873401244826,-0.0038795419549795263,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales
Pseudomonadaceae,-0.1132373486339277,2.8612337841747135,0.48706720529434966,0.004192885562200266,-0.04487595417871432,-0.02040121214401419,Proteobacteria,Gammaproteobacteria,Pseudomonadales
Eubacteriales Family XIII. Incertae Sedis,-0.08120170249888059,-0.1499102358543562,-0.1499102358543562,6.643693614094559e-05,-0.0942681071324239,2.773878944387425,Firmicutes,Clostridia,Eubacteriales
Arcobacteraceae,-0.17114265835401174,-0.36231386988899705,-0.36231386988899705,-0.0017831727925546048,-0.22783396015360605,2.642964574664907,Proteobacteria,Epsilonproteobacteria,Campylobacterales
Morganellaceae,0.021791102974477727,-2.7654726232898112,-0.1611008997166034,-0.013610617617028087,-1.3707494288354378,0.05855763990786367,Proteobacteria,Gammaproteobacteria,Enterobacterales
Atopobiaceae,1.369970222507902,-2.0016553740185623,-0.9299179181595136,-0.009851395984685984,-1.1648249434007623,-0.047927595076388,Actinobacteria,Coriobacteriia,Coriobacteriales
Propionibacteriaceae,1.3481846663073953,-2.0123788699194054,0.9236845622294351,-0.009904173004062343,-0.5197414164376343,-0.20329606685524465,Actinobacteria,Actinomycetia,Propionibacteriales
Prevotellaceae,1.1466841321357222,-2.395397634508409,-0.010288164262395844,-0.011789247512146273,-0.4497513428233818,0.24023050639574353,Bacteroidetes,Bacteroidia,Bacteroidales
Oxalobacteraceae,1.059446622010289,-1.0022430528288155,-1.0022430528288155,-0.004932663891334649,-0.432206506150294,1.9299288198253253,Proteobacteria,Betaproteobacteria,Burkholderiales
Neisseriaceae,1.435071875953373,-1.3652791313495025,-1.3652791313495025,-0.0067193911235329164,0.22100447914966956,1.0787526242850254,Proteobacteria,Betaproteobacteria,Neisseriales
Porphyromonadaceae,1.5794588301409271,-1.40039474549946,-1.40039474549946,0.0636931596419244,-0.7647535692328224,0.5232915188321485,Bacteroidetes,Bacteroidia,Bacteroidales
Desulfovibrionaceae,1.8743744593357496,-1.2053140967003628,-1.2053140967003628,-0.005932103301419453,-0.5809383546303314,0.5404875135843714,Proteobacteria,Deltaproteobacteria,Desulfovibrionales
Nocardiaceae,2.4763426292921817,-0.6919551910210958,-0.6919551910210958,-0.0034055435710307336,-0.12521514423407365,-0.07908134328687433,Actinobacteria,Actinomycetia,Corynebacteriales
Gordoniaceae,2.1696889880074153,-1.013208842669813,-1.013208842669813,0.042095549747130354,0.5577796402964296,-0.022735604466339446,Actinobacteria,Actinomycetia,Corynebacteriales
Fusobacteriaceae,2.2138621420341837,-0.9393009736990786,-0.9393009736990786,-0.004622886617157054,-0.33826773701728563,0.5051265471500029,Fusobacteria,Fusobacteriia,Fusobacteriales
Actinomycetaceae,1.9184277832639305,-1.3881640991290518,-1.1673883489431918,-0.006832022339984846,0.15778326905813192,0.14628917619947412,Actinobacteria,Actinomycetia,Actinomycetales
Rikenellaceae,2.073467239955495,-1.1475571293756457,-1.1475571293756457,-0.0056478452001618995,-0.1540647606838848,0.21691927688499188,Bacteroidetes,Bacteroidia,Bacteroidales
Dermabacteraceae,2.6626015593768755,-0.7440044608943239,0.4153822488140452,-0.0036617105290847607,0.4142937254813206,-0.10204068196318222,Actinobacteria,Actinomycetia,Micrococcales
Hafniaceae,2.1666329136601417,-1.434334663422989,0.07691564121471728,0.007853785130935709,-0.5080682228148945,0.06632232178397432,Proteobacteria,Gammaproteobacteria,Enterobacterales
Moraxellaceae,2.4583249390015687,-0.9724734585612125,-0.012690249899095951,0.06015771086598763,-0.43264821480119675,0.023666890860891243,Proteobacteria,Gammaproteobacteria,Moraxellales
Bacteroidaceae,0.8913680950050201,-0.21448702013181828,-2.431579314438518,-0.014938533983718472,0.6378486796136262,0.0607272429700679,Bacteroidetes,Bacteroidia,Bacteroidales
Enterococcaceae,0.7903110386205524,-2.5380988816542476,-0.9640823036233878,-0.01244938239235821,0.18455272017464797,-0.1945162947770553,Firmicutes,Bacilli,Lactobacillales
Micrococcaceae,0.38710181265435917,-1.9627587080623843,-1.9627587080623843,-0.009659961203358602,0.6481913078678229,-0.09896885441912684,Actinobacteria,Actinomycetia,Micrococcales
Bifidobacteriaceae,1.083709216159144,-1.5352338353983392,-1.5352338353983392,-0.007038751793012013,0.8088239276403153,0.700677424978608,Actinobacteria,Actinomycetia,Bifidobacteriales
Erysipelotrichaceae,0.7805726984463999,-1.8041221008798254,-1.7437472918272585,-0.00887921140231504,0.6113741246004663,0.4047924343934188,Firmicutes,Erysipelotrichia,Erysipelotrichales
Comamonadaceae,-0.6224838711003018,-1.4131282778792744,2.0795161147595884,0.140045099355887,-0.45686610685484624,0.25084921632761825,Proteobacteria,Betaproteobacteria,Burkholderiales
Peptoniphilaceae,-0.9391428936966538,-1.931790396588404,1.1718893340567451,-0.00706010592608472,-0.16938844750884033,1.0409703162827146,Firmicutes,Tissierellia,Tissierellales
Odoribacteraceae,-0.4522094684309955,-2.094679689554412,1.3127319918983922,0.022855060438463276,-0.9508399184938531,0.4472709022410215,Bacteroidetes,Bacteroidia,Bacteroidales
Coriobacteriaceae,-0.7471623502517089,-2.4362249541143086,1.0266363332196593,-0.011990184245637636,-0.13395722668923504,0.22552774909040407,Actinobacteria,Coriobacteriia,Coriobacteriales
Streptococcaceae,-0.3337733564943773,-2.530607014997986,0.9481611480978165,-0.012454697302023365,-0.5081890178411853,0.2019182441472303,Firmicutes,Bacilli,Lactobacillales
Listeriaceae,-1.3669594613484757,-1.5306856138251663,1.68276412750668,-0.007533459708191831,0.30690437074682286,-0.20295088071410888,Firmicutes,Bacilli,Bacillales
