,coeff
ACP_c,-0.020024
PGP_c,-0.016391
PGPm1_c,0.016391
adp_c,40.0
ala__L_c,-0.31096
amet_c,-0.020024
apoACP_c,0.020024
arg__L_c,-0.22477
asn__L_c,-0.17239
asp__L_c,-0.17239
atp_c,-40.0531
biomass_c,1.0
ca2_c,-0.020024
cl_c,-0.020024
coa_c,-0.020024
cobalt2_c,-0.020024
ctp_c,-0.040362
cu2_c,-0.020024
cys__L_c,-0.066193
datp_c,-0.0098522
dctp_c,-0.0098522
dgtp_c,-0.0098522
dnarep_c,-1.0
dttp_c,-0.0098522
fad_c,-0.020024
fe2_c,-0.020024
fe3_c,-0.020024
gln__L_c,-0.30335
glu__L_c,-0.30335
gly_c,-0.47573
gtp_c,-0.065512
h2o_c,-35.2379
h_c,40.0
his__L_c,-0.095242
ile__L_c,-0.3143
k_c,-0.020024
leu__L_c,-0.40383
lys__L_c,-0.37621
met__L_c,-0.13191
mg2_c,-0.020024
mn2_c,-0.020024
nad_c,-0.020024
nadp_c,-0.020024
phe__L_c,-0.20477
pi_c,39.98
ppi_c,0.16341
pro__L_c,-0.18715
proteinsynth_c,-1.0
pydx5p_c,-0.020024
ribflv_c,-0.020024
rnatrans_c,-1.0
ser__L_c,-0.25191
so4_c,-0.020024
tcam_c,-0.016391
thr__L_c,-0.21715
trp__L_c,-0.063336
tyr__L_c,-0.12905
udcpdp_c,-0.016391
utp_c,-0.043607
val__L_c,-0.35763
zn2_c,-0.020024
