,coeff
ACP_c,-0.0078094
PGP_c,-0.092476
PGPm1_c,0.092476
adp_c,40.0
ala__L_c,-0.50006
amet_c,-0.0078094
apoACP_c,0.0078094
arg__L_c,-0.28827
asn__L_c,-0.23468
asp__L_c,-0.23468
atp_c,-40.1701
biomass_c,1.0
ca2_c,-0.0078094
cl_c,-0.0078094
coa_c,-0.0078094
cobalt2_c,-0.0078094
ctp_c,-0.12988
cu2_c,-0.0078094
cys__L_c,-0.08898
datp_c,1.0519
dctp_c,-1.0746
dgtp_c,-1.0746
dnarep_c,-1.0
dttp_c,1.0519
fad_c,-0.0078094
fe2_c,-0.0078094
fe3_c,-0.0078094
gln__L_c,-0.25601
glu__L_c,-0.25601
gly_c,-0.5958
gtp_c,-0.2091
h2o_c,-34.7965
h_c,40.0
his__L_c,-0.092623
ile__L_c,-0.28255
k_c,-0.0078094
leu__L_c,-0.43866
lys__L_c,-0.33355
met__L_c,-0.14934
mg2_c,-0.0078094
mn2_c,-0.0078094
nad_c,-0.0078094
nadp_c,-0.0078094
phe__L_c,-0.18056
pi_c,39.9922
ppi_c,0.60401
pro__L_c,-0.21543
proteinsynth_c,-1.0
pydx5p_c,-0.0078094
ribflv_c,-0.0078094
rnatrans_c,-1.0
ser__L_c,-0.2097
so4_c,-0.0078094
thr__L_c,-0.24665
trp__L_c,-0.055157
tyr__L_c,-0.13425
udcpdp_c,-0.092476
utp_c,-0.14027
val__L_c,-0.4116
zn2_c,-0.0078094
