,targets_IBD,targets_nonIBD,killable_IBD,killable_nonIBD,fraction_IBD,fraction_nonIBD
Actinomyces_graevenitzii_C83,557,599,338,363,0.6068222621184919,0.6060100166944908
Providencia_rustigianii_DSM_4541,1851,1938,1445,1349,0.7806591031874662,0.696078431372549
Propionibacterium_acidipropionici_ATCC_4875,924,984,658,664,0.7121212121212122,0.6747967479674797
Bacteroides_dorei_DSM_17855,38,139,36,125,0.9473684210526315,0.8992805755395683
Veillonella_sp_3_1_44,344,555,99,214,0.2877906976744186,0.3855855855855856
Bifidobacterium_longum_longum_ATCC_55813,171,564,126,339,0.7368421052631579,0.601063829787234
Listeria_monocytogenes_4a_L99,895,924,575,591,0.6424581005586593,0.6396103896103896
Streptococcus_gordonii_str_Challis_substr_CH1,678,718,401,434,0.5914454277286135,0.6044568245125348
Lactobacillus_sakei_subsp_sakei_23K,600,633,339,362,0.565,0.5718799368088467
Yersinia_enterocolitica_subsp_enterocolitica_8081,1196,1259,801,804,0.669732441471572,0.6386020651310564
Clostridium_botulinum_E1_str_BoNT_E_Beluga,316,381,14,230,0.04430379746835443,0.6036745406824147
Lactobacillus_plantarum_subsp_plantarum_ATCC_14917,875,891,592,669,0.6765714285714286,0.7508417508417509
Lactobacillus_paracasei_subsp_paracasei_ATCC_25302,770,789,500,427,0.6493506493506493,0.541191381495564
Bacteroides_nordii_CL02T12C05,556,819,423,581,0.7607913669064749,0.7094017094017094
Bacteroides_uniformis_ATCC_8492,19,52,17,42,0.8947368421052632,0.8076923076923077
Staphylococcus_haemolyticus_JCSC1435,833,891,527,543,0.6326530612244898,0.6094276094276094
Clostridium_botulinum_A_str_ATCC_19397,841,924,608,644,0.72294887039239,0.696969696969697
Bacteroides_thetaiotaomicron_VPI_5482,49,235,47,198,0.9591836734693877,0.8425531914893617
Anaerococcus_prevotii_DSM_20548,534,586,314,310,0.5880149812734082,0.5290102389078498
Bifidobacterium_longum_DJO10A,156,552,117,279,0.75,0.5054347826086957
Leptotrichia_buccalis_C_1013_b,597,688,365,411,0.6113902847571189,0.5973837209302325
